Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Cachambi;2;0;0;50;1300.0;301.0;17.0
Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0
Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0
Olaria;3;1;0;68;1000.0;670.0;0.0
Vargem Pequena;3;1;0;53;1400.0;385.0;28.0
Cachambi;2;0;0;60;1000.0;380.0;280.0
Vila Valqueire;2;1;0;45;800.0;280.0;14.0
Laranjeiras;2;1;0;54;2300.0;582.0;0.0
Jacarepaguá;2;1;1;69;2000.0;780.0;0.0
Itanhangá;2;1;0;60;1000.0;450.0;150.0
Olaria;2;1;0;53;1100.0;160.0;0.0
Jardim Carioca;2;1;0;55;1350.0;430.0;47.0
Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0
Méier;2;0;0;56;899.0;402.0;135.0
Campo Grande;2;0;0;60;1200.0;570.0;0.0
Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0
Copacabana;2;0;0;50;2500.0;750.0;760.0
Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0
Pilares;3;0;0;65;1200.0;350.0;16.0
Tijuca;2;0;0;50;1800.0;347.0;25.0
Campo Grande;2;0;0;60;800.0;380.0;0.0
Tijuca;2;0;0;63;1400.0;440.0;61.0
Taquara;2;2;0;55;790.0;350.0;0.0
Copacabana;2;0;0;54;1800.0;590.0;0.0
Maracanã;2;1;0;53;1300.0;492.0;16.0
Jacarepaguá;2;1;1;60;1200.0;524.0;13.0
Água Santa;2;1;0;50;850.0;280.0;12.0
São Cristóvão;2;0;0;50;1000.0;600.0;0.0
Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0
Vila da Penha;2;0;0;60;900.0;160.0;25.0
Engenho Novo;2;0;0;53;1400.0;460.0;12.0
Anil;2;1;0;48;1100.0;400.0;0.0
Gávea;2;1;1;68;2700.0;850.0;186.0
Madureira;2;0;0;40;600.0;415.0;0.0
Pechincha;2;1;0;64;800.0;248.0;14.0
Jacarepaguá;2;1;0;68;1100.0;540.0;0.0
Humaitá;2;1;0;64;2500.0;520.0;0.0
Irajá;2;1;0;65;1100.0;255.0;0.0
Méier;2;1;0;62;1000.0;600.0;38.0
Grajaú;2;0;0;65;1400.0;415.0;21.0
Flamengo;2;1;0;57;2800.0;832.0;98.0
Copacabana;2;0;0;65;2700.0;710.0;130.0
